CUST_ORG,BUS_CAT_CL,BUS_CAT_DS,OCCPNT_TYP,SRCDATA_ID,NAME,DESCRIPTN,ADDRESS,ALIAS_ADDR,ST_ADDRESS,POSTAL_CD,LOCALITY,CONT_PHONE,CONT_EMAIL,CONT_FAX,WEBSITE,IMAGE_URL,LATITUDE,LONGITUDE,KEYWORDS,DT_UPDATE,GEOCD_IND,FACEBOOK,PRODUCT_ID,TRSM_AREA,TWITTER,SHAPE,SEQ_ID,X,Y
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2135,Birch Grove RV Park & Marina,Campgrounds & RV Parks - Private;,"7048 Lee Rd, Hwy 3A, Balfour, BC",7048 Lee Rd,"7048 Lee Rd, Hwy 3A",V1L6R9,Balfour,,,,,,49.6179713,-116.9988682,Accommodation,20181201072116,, ,4540037,Kootenay Rockies, ,,2819,1648992.418,552617.6009999998
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2136,Johnny's Motel,Hotels & Motels;,"7291 Hwy 3, Grand Forks, BC","7291 Hwy 3, Grand Forks, BC",7291 Hwy 3,V0H1H0,Grand Forks,,,,,,49.0272447,-118.4263004,Accommodation,20181201072118,,https://www.facebook.com/Johnnys-Motel-335461563195726,4541388,Thompson Okanagan, ,,4171,1553512.4829999981,475297.16500000283
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2137,The Reynolds Hotel,Hotels & Motels;,"1237 Main St, Lillooet, BC","1237 Main St, Lillooet, BC",1237 Main St,V0K1V0,Lillooet,,,,,,50.6860313,-121.9367035,Accommodation,20181201072116,,https://www.facebook.com/pages/Reynolds-Hotel/174832649232118,4541389,Cariboo Chilcotin Coast, ,,2721,1286781.8000000007,638357.0499999989
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2138,Riverside Bed & Breakfast,Bed & Breakfasts;,"2664 Thompson Dr, Kamloops, BC",2664 Thompson Dr,2664 Thompson Dr,V2C4L4,Kamloops,,,,,,50.6758175,-120.2397193,Accommodation,20181201072118,, ,4541393,Thompson Okanagan, ,,3997,1406419.588,645531.5810000012
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2139,Prestige Inn Nelson,Hotels & Motels;,"1301 Front St, Nelson, BC",1301 Front St,1301 Front St,V1L4C5,Nelson,,,,www.prestigehotelsandresorts.com,,49.498729,-117.286802,Accommodation,20181201072118,,https://www.facebook.com/PrestigeHotelsandResorts,4541394,Kootenay Rockies,https://twitter.com/PrestigeResorts,,4329,1629966.071,536865.1750000007
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2140,Pemberton Valley Lodge,Hotels & Motels;,"1490 Sea To Sky Hwy (Hwy 99), Pemberton, BC",1490 Sea To Sky Hwy (Hwy 99),1490 Sea To Sky Hwy (Hwy 99),V0N2L1,Pemberton,,,,http://www.pembertonvalleylodge.com,,50.3155721,-122.7930307,Accommodation,20181201072118,,http://www.facebook.com/stay.in.pemberton,4541396,Vancouver Coast and Mountains,http://twitter.com/PembValleyLodge,,4255,1228257.5429999996,594063.1759999972
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2141,Cameron Lake Campground,Campgrounds & RV Parks - Private;,"Hwy 29, Hudson's Hope, BC","Hwy 29, Hudson's Hope, BC",Hwy 29,V0C1V0,Hudson's Hope,,,,www.hudsonshope.ca,,56.024494999999995,-121.9284153,Accommodation,20181201072116,, ,4540300,Northern British Columbia, ,,1961,1253137.293,1232864.0859999964
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2142,Mike Wiegele Helicopter Skiing Resort,Resorts; Cabins & Cottages;,"1 Harrwood Dr, Blue River, BC","1 Harrwood Dr, Blue River, BC",1 Harrwood Dr,V0E1J0,Blue River,,,,,,52.1085343,-119.3036656,Accommodation,20181201072117,,http://www.facebook.com/pages/Mike-Wiegele-Helicopter-Skiing/170769349218,4540966,Thompson Okanagan,https://twitter.com/MikeWiegeleHeli,,2579,1457203.9190000005,810246.3449999979
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2143,Engelhard's Oceanview Lodge,Hotels & Motels;,"1970 Harrison Ave, Masset, BC","1970 Harrison Ave, Masset, BC",1970 Harrison Ave,V0T1M0,Masset,,,,,,54.0080885,-132.1431508,Accommodation,20181201072116,, ,4541270,Northern British Columbia, ,,1697,598832.2479999994,1017930.4790000003
Destination BC,accommodationServices,Accommodation services,HelloBC Accomodations Listing,2144,Holiday Inn Express & Suites Surrey,Hotels & Motels;,"15808 - 104th Ave, Surrey, BC",15808 - 104th Ave,15808 - 104th Ave,V4N5L2,Surrey,,,,www.hiesurrey.com,,49.191517,-122.782498,Accommodation,20181201072116,,https://www.facebook.com/pages/Holiday-Inn-Express-Suites-Surrey-British-Columbia/72882858127,4539252,Vancouver Coast and Mountains, ,,1893,1234685.2789999996,469242.47399999946
