licence number,establishment name,location address line 1,location address line 2,location address city,location postal code,licence type,licence sub type,capacity
304649,50th Parallel Estate,17101 Terrace View Road,,LAKE COUNTRY,V4V1B7,Manufacturer,Winery,0
301433,52 Ridge Restaurant,373 Clearwater Valley Road,,CLEARWATER,V0E1N0,Food Primary,,252
306203,54th Avenue Cafe Restaurant,7088 Kerr St.,,VANCOUVER,V5S4W2,Food Primary,,85
300618,"5th (BC) Field Artillery Regiment, RCA",715 Bay Street,,VICTORIA,V8T1R1,Liquor Primary,,180
303626,6 Degrees Bistro,Big White Mountain,5227 Big White Road,BEAVERDELL,V0H1A0,Food Primary,,52
304266,6 Degrees Eatery,1590 Coal Harbour Quay,,VANCOUVER,V6G3G1,Food Primary,,56
303557,6465561 Canada Inc. ,,,,,Agent,,
300414,6TH FIELD SQUADRON ALL RANKS MESS,1513 FORBES AVE,,NORTH VANCOUVER,V7M2Y4,Liquor Primary,,400
18547,6th Street Grill,413 6th Street,,NEW WESTMINSTER,V3L3B1,Food Primary,,82
306592,88 Grand Buffet,325-2339 Highway 97 N,,KELOWNA,V1X4H9,Food Primary,,202
195165,8st Liquor Store,48 Eighth Street,,NEW WESTMINSTER,V3M3N8,Licensee Retail Store,,
302675,8th Generation Vineyard Inc.,6807 Hwy 97,,SUMMERLAND,V0H1Z9,Manufacturer,Winery,0
306201,900 Degrees Woodfired Pizzeria,101-2401B Millstream Rd,,VICTORIA,V9B3R5,Food Primary,,68
306716,@ Bangkok Modern Thai Cuisine,1813 Douglas St,,VICTORIA,V8T4K5,Food Primary,,50
307140,A Frame Brewing Company,Bay 1 - 38927 Queens Way,,SQUAMISH,V8B0K9,Manufacturer,Brewery,0
202290,A Grape in Time,C - 32757 Logan Ave,,MISSION,V2V6K7,UBrew/UVin,,
21806,A TASTE OF INDIA RESTAURANT,1282 ROBSON ST,,VANCOUVER,V6E1C1,Food Primary,,50
206048,A TASTE OF TOKYO JAPANESE RESTAURANT,9842 RESTHAVEN DR,,SIDNEY,V8L3E6,Food Primary,,60
159669,A Taste of Vietnam,1016 W  BROADWAY,,VANCOUVER,V6H1E6,Food Primary,,45
307576,A&S Hidden Treasures Inc.,,,,,Agent,,
308101,A. C. Wine Syndicate Inc.,,,,,Agent,,
303679,A.Bento,656 Broadway w,,VANCOUVER,V5Z1G1,Food Primary,,103
307587,A.M. Radio Cafe,711 Radio Ave,,NELSON,V1L3L2,Food Primary,,60
